id,Address,Continent,Description,Audio1,Audio2,Language,Greet,Bordering_countries,A_World_without_borders,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
1,"Aachen, Germany",Europe,Aachen is a city in Germany close to the border with Belgium and Netherland.,Aachen_Germany.mp3,https://github.com/SumSumarie/a_world_without_borders/blob/399915ad8f605b1ce5195831f3e3259255d354cf/Aachen_Germany_English.mp3,German (Deutsch),Hallo,"Belgium, Netherlands",...,Ok,"52 Aachen, Germany",50.7753455,6.0838868,"locality, political",APPROXIMATE,,,52.0,Aachen,Germany,North Rhine-Westphalia,Cologne,K,,,
2,Austria,Europe,Austrian is a country next to Germany…,Austria.mp3,Austria_English.mp3,German(Deutsch),Hallo,"Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein",,Ok,Austria,47.516231,14.550072,"country, political",APPROXIMATE,,,,,Austria,,,,,,
3,Basque country,Europe,Basque country is...,Basque country.mp3,Basque country_English.mp3,Basque (Euskara),Kaixo,"Spain, France",,Ok,"Basque Country, Spain",42.9896248,-2.6189273,"administrative_area_level_1, political",APPROXIMATE,,,,,Spain,Basque Country,,,,,
4,Belgium,Europe,Belgium is ...,Belgium.mp3,Belgium_English.mp3,Dutch (Nederlands),Hallo,#ERROR!,,Ok,Belgium,50.503887,4.469936,"country, political",APPROXIMATE,,,,,Belgium,,,,,,
5,Catalonia,Europe,Catalonia is...,Catalonia.mp3,Catalonia_English.mp3,Catalan (Català),Hola,#ERROR!,,Ok,"Catalonia, Spain",41.5911589,1.5208624,"administrative_area_level_1, political",APPROXIMATE,,,,,Spain,Catalonia,,,,,
6,Georgia,Europe,Georgia is ...,Georgia.mp3,Georgia_English.mp3,Georgian (ქართული),გამარჯობა,#ERROR!,,"2 found, use single geocode.",Georgia,42.315407,43.356892,"country, political",APPROXIMATE,,,,,Georgia,,,,,,
7,Germany,Europe,Germany is ...,Germany.mp3,Germany_English.mp3,German(Deutsch),Hallo,#ERROR!,,Ok,Germany,51.165691,10.451526,"country, political",APPROXIMATE,,,,,Germany,,,,,,
8,"Freiburg, Germany",Europe,Freiburg is ...,Freiburg_Germany.mp3,Freiburg_Germany_English.mp3,German (Deutsch),Hallo,"France, Switzerland",,Ok,"79 Freiburg im Breisgau, Germany",47.9990077,7.8421043,"locality, political",APPROXIMATE,,,79.0,Freiburg im Breisgau,Germany,Baden-Württemberg,Freiburg,Freiburg,,,
9,"Frankurt(Oder), Germany",Europe,Frankurt(Oder) is ...,Frankurt_Oder_ Germany.mp3,Frankurt_Oder_ Germany_English.mp3,German (Deutsch),Hallo,Poland,,Ok,"15 Frankfurt an der Oder, Germany",52.3472237,14.5505673,"locality, political",APPROXIMATE,,,15.0,Frankfurt an der Oder,Germany,Brandenburg,słubicki,słubicki,,,
10,Italy,Europe,Italy is ...,Italy.mp3,Italy_English.mp3,Italian (Italiano),Ciao,#ERROR!,,Ok,Italy,41.87194,12.56738,"country, political",APPROXIMATE,,,,,Italy,,,,,,
11,Lithuania,Europe,Lithuania is ...,Lithuania.mp3,Lithuania_English.mp3,Lithuanian (Lietuvių),Labas,#ERROR!,,Ok,Lithuania,55.169438,23.881275,"country, political",APPROXIMATE,,,,,Lithuania,,,,,,
12,Luxemburg ,Europe,Luxemburg is ...,Luxemburg.mp3,Luxemburg_English.mp3,Luxembourgish (Lëtzebuergesch),Moien,#ERROR!,,Ok,Luxembourg,49.815273,6.129583,"country, political",APPROXIMATE,,,,,Luxembourg,,,,,,
13,Netherland,Europe,Netherland is ...,Netherland.mp3,Netherland_English.mp3,Dutch (Nederlands),Hallo,#ERROR!,,Ok,Netherlands,52.132633,5.291266,"country, political",APPROXIMATE,,,,,Netherlands,,,,,,
14,Norway,Europe,Norway is ...,Norway.mp3,Norway_English.mp3,Norwegian(Norsk),Hei,"Sweden, Finland, Russia",,Ok,Norway,60.472024,8.468946,"country, political",APPROXIMATE,,,,,Norway,,,,,,
15,"Krakow, Poland",Europe,Krakow is ...,Krakow_Poland.mp3,Krakow_Poland_English.mp3,Polish (Polski),Cześć,#ERROR!,,Ok,"Kraków, Poland",50.0646501,19.9449799,"locality, political",APPROXIMATE,,,30.0,Kraków,Poland,Lesser Poland Voivodeship,Kraków,Kraków,,,
16,Poland,Europe,Poland is ...,Poland.mp3,Poland_English.mp3,Polish (Polski),Cześć,"Germany, Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, Russia",,Ok,Poland,51.919438,19.145136,"country, political",APPROXIMATE,,,,,Poland,,,,,,
17,Spain,Europe,Spain is ...,Spain.mp3,Spain_English.mp3,Spanish (Español),Hola,"Portugal, France, Andorra, Gibraltar",,Ok,Spain,40.463667,-3.74922,"country, political",APPROXIMATE,,,,,Spain,,,,,,
18,"Straßburg, France",Europe,Straßburg is ...,Straßburg_France.mp3,Straßburg_France_English.mp3,French (Français),Bonjour,Germany,,Ok,"Strasbourg, France",48.5734053,7.7521113,"locality, political",APPROXIMATE,,,,Strasbourg,France,Grand Est,Bas-Rhin,Bas-Rhin,,,
19,England,Europe,England is ...,England.mp3,England_English.mp3,English (English),Hello,"Scotland, Wales",,Ok,"England, UK",52.3555177,-1.1743197,"administrative_area_level_1, political",APPROXIMATE,,,,,United Kingdom,England,,,,,
20,China,Aisa,China is ...,China.mp3,China_English.mp3,Mandarin Chinese(普通话),你好,"Afghanistan, Bhutan, India, Kazakhstan, Kyrgyzstan, Laos, Mongolia, Myanmar, Nepal, North Korea, Pakistan, Russia, Tajikistan, Vietnam",,Ok,China,35.86166,104.195397,"country, political",APPROXIMATE,,,,,China,,,,,,
21,Taiwan,Aisa,Taiwan is ...,Taiwan.mp3,Taiwan_English.mp3,Mandarin Chinese (中文),你好,Taiwan does not share land borders with any countries.,,Ok,Taiwan,23.69781,120.960515,"country, political",APPROXIMATE,,,,,Taiwan,,,,,,
22,Taiwan,Aisa,Taiwan is ...,Taiwan.mp3,Taiwan_English.mp3,Mandarin Chinese (中文),你好,Taiwan does not share land borders with any countries.,,Ok,Taiwan,23.69781,120.960515,"country, political",APPROXIMATE,,,,,Taiwan,,,,,,
23,Hongkong,Aisa,Hongkong is ...,Hongkong.mp3,Hongkong_English.mp3,Cantonese (廣東話),你好,China,,Ok,Hong Kong,22.3193039,114.1693611,"country, political",APPROXIMATE,,,,,Hong Kong,,,,,,
24,Japan,Aisa,Japan is ...,Japan.mp3,Japan_English.mp3,Japanese (日本語),こんにちは,Japan does not share land borders with any countries.,,Ok,Japan,36.204824,138.252924,"country, political",APPROXIMATE,,,,,Japan,,,,,,
25,Nepal,Aisa,Nepal is ...,Nepal.mp3,Nepal_English.mp3,Nepali (नेपाली),नमस्ते,"China, India",,Ok,Nepal,28.394857,84.124008,"country, political",APPROXIMATE,,,,,Nepal,,,,,,
26,Mexico,Latin America,Mexico is ...,Mexico.mp3,Mexico_English.mp3,Spanish (Español),Hola,"United States, Guatemala, Belize",,Ok,Mexico,23.634501,-102.552784,"country, political",APPROXIMATE,,,,,Mexico,,,,,,
27,Nicaragua,Latin America,Nicaragua is ...,Nicaragua.mp3,Nicaragua_English.mp3,Spanish(Español),Hola,#ERROR!,,Ok,Nicaragua,12.865416,-85.207229,"country, political",APPROXIMATE,,,,,Nicaragua,,,,,,
28,Syria,Middle East,Syria is ...,Syria.mp3,Syria_English.mp3,Arabic(العربية),مرحبًا,"Turkey, Iraq, Jordan, Israel, Lebanon",,Ok,Syria,34.802075,38.996815,"country, political",APPROXIMATE,,,,,Syria,,,,,,
29,Turkey,Middle East,Turkey is ...,Turkey.mp3,Turkey_English.mp3,Turkish(Türkçe),Merhaba,"Greece, Bulgaria, Georgia, Armenia, Azerbaijan, Iran, Iraq, Syria",,Ok,Türkiye,38.963745,35.243322,"country, political",APPROXIMATE,,,,,Türkiye,,,,,,
30,Madagascar,Africa,Madagascar is ...,Madagascar.mp3,Madagascar_English.mp3,Malagasy(Malagasy),Salama,#ERROR!,,Ok,Madagascar,-18.766947,46.869107,"country, political",APPROXIMATE,,,,,Madagascar,,,,,,
