id,Address,Continent,Description,Audio1,Audio2,Language,Greet,Bordering_countries,A_World_without_borders
1,"Aachen, Germany",Europe,Aachen is a city in Germany close to the border with Belgium and Netherland.,Aachen_Germany.mp3,https://github.com/SumSumarie/a_world_without_borders/blob/399915ad8f605b1ce5195831f3e3259255d354cf/Aachen_Germany_English.mp3,German (Deutsch),Hallo,"Belgium, Netherlands",...
2,Austria,Europe,Austrian is a country next to Germany…,Austria.mp3,Austria_English.mp3,German(Deutsch),Hallo,"Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein",
3,Basque country,Europe,Basque country is...,Basque country.mp3,Basque country_English.mp3,Basque (Euskara),Kaixo,"Spain, France",
4,Belgium,Europe,Belgium is ...,Belgium.mp3,Belgium_English.mp3,Dutch (Nederlands),Hallo,#ERROR!,
5,Catalonia,Europe,Catalonia is...,Catalonia.mp3,Catalonia_English.mp3,Catalan (Català),Hola,#ERROR!,
6,Georgia,Europe,Georgia is ...,Georgia.mp3,Georgia_English.mp3,Georgian (ქართული),გამარჯობა,#ERROR!,
7,Germany,Europe,Germany is ...,Germany.mp3,Germany_English.mp3,German(Deutsch),Hallo,#ERROR!,
8,"Freiburg, Germany",Europe,Freiburg is ...,Freiburg_Germany.mp3,Freiburg_Germany_English.mp3,German (Deutsch),Hallo,"France, Switzerland",
9,"Frankurt(Oder), Germany",Europe,Frankurt(Oder) is ...,Frankurt_Oder_ Germany.mp3,Frankurt_Oder_ Germany_English.mp3,German (Deutsch),Hallo,Poland,
10,Italy,Europe,Italy is ...,Italy.mp3,Italy_English.mp3,Italian (Italiano),Ciao,#ERROR!,
11,Lithuania,Europe,Lithuania is ...,Lithuania.mp3,Lithuania_English.mp3,Lithuanian (Lietuvių),Labas,#ERROR!,
12,Luxemburg ,Europe,Luxemburg is ...,Luxemburg.mp3,Luxemburg_English.mp3,Luxembourgish (Lëtzebuergesch),Moien,#ERROR!,
13,Netherland,Europe,Netherland is ...,Netherland.mp3,Netherland_English.mp3,Dutch (Nederlands),Hallo,#ERROR!,
14,Norway,Europe,Norway is ...,Norway.mp3,Norway_English.mp3,Norwegian(Norsk),Hei,"Sweden, Finland, Russia",
15,"Krakow, Poland",Europe,Krakow is ...,Krakow_Poland.mp3,Krakow_Poland_English.mp3,Polish (Polski),Cześć,#ERROR!,
16,Poland,Europe,Poland is ...,Poland.mp3,Poland_English.mp3,Polish (Polski),Cześć,"Germany, Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, Russia",
17,Spain,Europe,Spain is ...,Spain.mp3,Spain_English.mp3,Spanish (Español),Hola,"Portugal, France, Andorra, Gibraltar",
18,"Straßburg, France",Europe,Straßburg is ...,Straßburg_France.mp3,Straßburg_France_English.mp3,French (Français),Bonjour,Germany,
19,England,Europe,England is ...,England.mp3,England_English.mp3,English (English),Hello,"Scotland, Wales",
20,China,Aisa,China is ...,China.mp3,China_English.mp3,Mandarin Chinese(普通话),你好,"Afghanistan, Bhutan, India, Kazakhstan, Kyrgyzstan, Laos, Mongolia, Myanmar, Nepal, North Korea, Pakistan, Russia, Tajikistan, Vietnam",
21,Taiwan,Aisa,Taiwan is ...,Taiwan.mp3,Taiwan_English.mp3,Mandarin Chinese (中文),你好,Taiwan does not share land borders with any countries.,
22,Taiwan,Aisa,Taiwan is ...,Taiwan.mp3,Taiwan_English.mp3,Mandarin Chinese (中文),你好,Taiwan does not share land borders with any countries.,
23,Hongkong,Aisa,Hongkong is ...,Hongkong.mp3,Hongkong_English.mp3,Cantonese (廣東話),你好,China,
24,Japan,Aisa,Japan is ...,Japan.mp3,Japan_English.mp3,Japanese (日本語),こんにちは,Japan does not share land borders with any countries.,
25,Nepal,Aisa,Nepal is ...,Nepal.mp3,Nepal_English.mp3,Nepali (नेपाली),नमस्ते,"China, India",
26,Mexico,Latin America,Mexico is ...,Mexico.mp3,Mexico_English.mp3,Spanish (Español),Hola,"United States, Guatemala, Belize",
27,Nicaragua,Latin America,Nicaragua is ...,Nicaragua.mp3,Nicaragua_English.mp3,Spanish(Español),Hola,#ERROR!,
28,Syria,Middle East,Syria is ...,Syria.mp3,Syria_English.mp3,Arabic(العربية),مرحبًا,"Turkey, Iraq, Jordan, Israel, Lebanon",
29,Turkey,Middle East,Turkey is ...,Turkey.mp3,Turkey_English.mp3,Turkish(Türkçe),Merhaba,"Greece, Bulgaria, Georgia, Armenia, Azerbaijan, Iran, Iraq, Syria",
30,Madagascar,Africa,Madagascar is ...,Madagascar.mp3,Madagascar_English.mp3,Malagasy(Malagasy),Salama,#ERROR!,
